 Time, PumpCycle, T_Pump1 [C], T_Pump2 [C], T_PCB [C], T_Case [C], I_Pump1 [A], I_Pump2 [A], V_Bat, Flow [SLM], BEMF_1, Pump1_PWM, BEMF_2, Pump2_PWM
 00:00:06,1,39.85,38.01,32.99,0.00,227.11,227.11,15.42,0.00,6.54,549,6.67,545

 00:00:10,1,40.92,38.39,33.00,0.00,263.74,271.06,15.39,25.10,6.90,576,6.94,570

 00:00:15,1,41.05,38.65,32.98,0.00,285.71,300.37,15.38,79.09,7.11,596,7.14,589

 00:00:20,1,40.92,38.80,32.92,0.00,307.69,322.34,15.37,10.21,7.34,609,7.35,602

 00:00:25,1,41.00,38.75,32.87,0.00,329.67,351.65,15.37,10.49,7.38,621,7.50,611

 00:00:30,1,41.02,38.97,32.80,0.00,344.32,358.97,15.36,10.73,7.47,630,7.48,620

 00:00:35,1,40.86,38.86,32.75,0.00,358.97,373.63,15.37,10.78,7.52,638,7.54,627

 00:00:40,1,40.90,38.72,32.71,0.00,373.63,388.28,15.36,10.89,7.59,644,7.60,632

 00:00:45,1,40.69,38.89,32.66,0.00,380.95,388.28,15.35,10.92,7.62,649,7.56,639

 00:00:50,1,40.91,39.02,32.62,0.00,388.28,402.93,15.35,10.98,7.68,652,7.71,641

 00:00:55,1,40.64,38.86,32.58,0.00,388.28,395.60,15.34,11.11,7.72,654,7.65,645

 00:01:00,1,41.04,39.01,32.54,0.00,395.60,402.93,15.35,10.99,7.72,656,7.71,647

 00:01:05,1,41.04,39.09,32.50,0.00,395.60,402.93,15.35,11.07,7.75,657,7.77,647

 00:01:10,1,40.93,39.24,32.46,0.00,395.60,402.93,15.35,11.16,7.76,658,7.77,647

 00:01:15,1,40.96,39.20,32.42,0.00,388.28,410.26,15.34,11.21,7.78,658,7.68,650

 00:01:20,1,41.15,39.02,32.38,0.00,402.93,410.26,15.33,11.12,7.72,660,7.66,654

 00:01:25,1,41.16,38.94,32.34,0.00,395.60,410.26,15.34,11.27,7.72,662,7.77,654

 00:01:30,1,41.23,39.35,32.32,0.00,402.93,417.58,15.33,11.16,7.77,662,7.71,656

 00:01:35,1,41.26,39.03,32.28,0.00,417.58,410.26,15.33,11.22,7.74,663,7.81,655

 00:01:40,1,41.30,39.39,32.25,0.00,410.26,417.58,15.33,11.30,7.79,663,7.70,657

 00:01:45,1,41.29,39.14,32.22,0.00,417.58,417.58,15.33,11.19,7.79,663,7.78,657

 00:01:50,1,41.33,39.18,32.19,0.00,410.26,417.58,15.33,11.22,7.76,664,7.78,657

 00:01:55,1,41.37,39.38,32.17,0.00,402.93,417.58,15.33,11.25,7.75,665,7.72,659

 00:02:00,1,41.32,39.15,32.15,0.00,410.26,417.58,15.33,11.30,7.80,665,7.75,660

 00:02:05,1,41.26,39.03,32.12,0.00,417.58,424.91,15.33,11.33,7.79,665,7.79,660

 00:02:10,1,41.44,39.17,32.10,0.00,402.93,417.58,15.33,11.26,7.77,665,7.72,662

 00:02:15,1,40.92,38.74,32.06,0.00,417.58,424.91,15.33,11.30,7.80,665,7.84,660

 00:02:20,1,41.52,39.30,32.04,0.00,410.26,424.91,15.35,11.25,7.73,667,7.85,658

 00:02:25,1,41.71,39.88,32.03,0.00,402.93,417.58,15.34,11.39,7.77,667,7.74,659

 00:02:30,1,41.69,39.71,32.01,0.00,417.58,424.91,15.33,11.23,7.79,667,7.84,657

 00:02:35,1,41.64,39.73,31.98,0.00,417.58,424.91,15.33,11.30,7.82,666,7.76,658

 00:02:40,1,41.73,39.81,31.96,0.00,417.58,417.58,15.33,11.28,7.77,666,7.70,661

 00:02:45,1,41.70,39.47,31.94,0.00,424.91,417.58,15.33,11.19,7.78,666,7.81,660

 00:02:50,1,41.69,39.72,31.93,0.00,424.91,417.58,15.33,11.27,7.81,665,7.81,659

 00:02:55,1,41.89,39.77,31.91,0.00,410.26,417.58,15.34,11.27,7.81,664,7.76,660

 00:03:00,1,41.56,39.34,31.88,0.00,410.26,417.58,15.34,11.24,7.74,665,7.72,662

 00:06:05,2,39.99,37.77,32.77,0.00,402.93,417.58,15.35,11.26,7.87,663,8.00,656

 00:06:10,2,40.66,38.66,32.74,0.00,395.60,410.26,15.34,11.29,7.85,661,7.81,655

 00:06:15,2,40.46,38.31,32.69,0.00,402.93,410.26,15.33,11.25,7.76,662,7.82,654

 00:06:20,2,40.45,38.69,32.64,0.00,395.60,410.26,15.33,11.38,7.81,661,7.78,654

 00:06:25,2,40.57,38.60,32.58,0.00,395.60,410.26,15.35,11.15,7.74,662,7.81,653

 00:06:30,2,40.62,38.75,32.54,0.00,395.60,410.26,15.34,11.15,7.75,663,7.77,653

 00:06:35,2,40.43,38.62,32.49,0.00,395.60,410.26,15.33,11.12,7.79,663,7.73,654

 00:06:40,2,40.50,38.79,32.45,0.00,402.93,410.26,15.35,11.23,7.74,664,7.79,654

 00:06:45,2,40.62,38.87,32.41,0.00,402.93,410.26,15.34,11.22,7.78,664,7.83,653

 00:06:50,2,40.54,38.90,32.37,0.00,395.60,417.58,15.34,11.38,7.79,664,7.72,655

 00:06:55,2,40.65,38.86,32.33,0.00,402.93,417.58,15.35,11.24,7.76,665,7.82,654

 00:07:00,2,40.64,38.91,32.30,0.00,402.93,417.58,15.35,11.28,7.87,662,7.81,653

 00:07:05,2,40.79,38.99,32.27,0.00,410.26,410.26,15.34,11.25,7.73,664,7.78,653

 00:07:10,2,40.69,39.05,32.24,0.00,402.93,417.58,15.34,11.34,7.82,663,7.79,653

 00:07:15,2,40.90,39.09,32.21,0.00,402.93,410.26,15.34,11.17,7.73,664,7.73,654

 00:07:20,2,40.88,39.35,32.18,0.00,410.26,417.58,15.35,11.22,7.79,664,7.77,654

 00:07:25,2,40.97,39.18,32.15,0.00,402.93,417.58,15.34,11.31,7.84,662,7.81,653

 00:07:30,2,41.01,39.35,32.12,0.00,395.60,410.26,15.34,11.28,7.77,662,7.76,654

 00:07:35,2,41.15,39.32,32.09,0.00,388.28,417.58,15.33,11.19,7.77,662,7.74,655

 00:07:40,2,41.17,39.41,32.07,0.00,402.93,410.26,15.33,11.16,7.75,663,7.71,657

 00:07:45,2,41.25,39.22,32.04,0.00,402.93,417.58,15.33,11.17,7.78,663,7.80,657

 00:07:50,2,41.34,39.32,32.02,0.00,410.26,410.26,15.34,11.21,7.73,665,7.79,657

 00:07:55,2,41.34,39.46,32.00,0.00,410.26,410.26,15.33,11.17,7.77,665,7.82,656

 00:08:00,2,41.38,39.70,31.97,0.00,395.60,417.58,15.33,11.31,7.79,665,7.73,657

 00:08:05,2,41.47,39.61,31.95,0.00,410.26,417.58,15.33,11.23,7.77,665,7.81,656

 00:08:10,2,41.55,39.79,31.93,0.00,402.93,424.91,15.34,11.30,7.79,665,7.76,657

 00:08:15,2,41.68,39.65,31.91,0.00,410.26,424.91,15.33,11.21,7.79,665,7.74,658

 00:08:20,2,41.51,39.60,31.90,0.00,410.26,417.58,15.33,11.22,7.77,666,7.71,660

 00:08:25,2,41.70,39.62,31.88,0.00,410.26,417.58,15.34,11.27,7.78,666,7.84,658

