Time, PumpCycle, T_Pump1 [C], T_Pump2 [C], T_PCB [C], T_Case [C], I_Pump1 [A], I_Pump2 [A], V_Bat, Flow [SLM], BEMF_1, Pump1_PWM, BEMF_2, Pump2_PWM
 00:00:05,1,23.83,23.83,24.27,0.00,219.78,212.45,15.49,0.00,6.64,546,6.77,542

 00:00:10,1,24.52,24.42,24.33,0.00,241.76,249.08,15.49,259.36,7.04,568,7.08,563

 00:00:15,1,24.72,24.49,24.37,0.00,263.74,271.06,15.48,259.36,7.24,584,7.25,579

 00:00:20,1,24.66,24.56,24.39,0.00,271.06,285.71,15.48,259.36,7.39,596,7.40,590

 00:00:25,1,24.92,24.70,24.42,0.00,293.04,300.37,15.47,259.36,7.45,606,7.53,597

 00:00:30,1,25.00,25.05,24.44,0.00,300.37,315.02,15.46,259.36,7.50,614,7.56,604

 00:00:35,1,25.19,25.06,24.46,0.00,307.69,315.02,15.46,259.36,7.55,621,7.62,609

 00:00:40,1,25.18,25.09,24.48,0.00,307.69,322.34,15.46,259.36,7.63,626,7.58,615

 00:00:45,1,25.19,25.15,24.51,0.00,329.67,337.00,15.46,259.36,7.72,628,7.66,619

 00:00:50,1,25.43,25.25,24.54,0.00,337.00,337.00,15.45,259.36,7.72,630,7.71,621

 00:00:55,1,25.38,25.35,24.57,0.00,322.34,337.00,15.45,259.36,7.71,632,7.69,624

 00:01:00,1,25.56,25.45,24.59,0.00,329.67,344.32,15.44,259.36,7.62,637,7.77,624

 00:01:05,1,25.56,25.49,24.62,0.00,344.32,344.32,15.44,259.36,7.80,637,7.77,625

 00:01:10,1,25.79,25.80,24.65,0.00,337.00,344.32,15.45,259.36,7.76,638,7.76,626

 00:01:15,1,25.75,25.67,24.69,0.00,337.00,344.32,15.44,259.36,7.78,638,7.68,629

 00:01:20,1,26.06,25.92,24.73,0.00,344.32,344.32,15.45,259.36,7.81,637,7.82,628

 00:01:25,1,26.31,25.95,24.76,0.00,337.00,344.32,15.45,259.36,7.79,637,7.73,629

 00:01:30,1,26.39,26.11,24.80,0.00,351.65,351.65,15.44,259.36,7.79,637,7.78,629

 00:01:35,1,26.54,26.20,24.84,0.00,344.32,344.32,15.44,259.36,7.79,637,7.75,630

 00:01:40,1,26.65,26.26,24.87,0.00,337.00,344.32,15.44,259.36,7.76,638,7.77,630

 00:01:45,1,26.82,26.42,24.90,0.00,358.97,351.65,15.44,259.36,7.79,638,7.71,632

 00:01:50,1,26.86,26.47,24.92,0.00,351.65,351.65,15.44,259.36,7.78,638,7.78,632

 00:01:55,1,27.02,26.56,24.96,0.00,351.65,344.32,15.45,259.36,7.72,640,7.82,631

 00:02:00,1,27.04,26.78,25.00,0.00,344.32,351.65,15.44,259.36,7.80,639,7.70,633

 00:02:05,1,27.25,26.77,25.03,0.00,351.65,351.65,15.44,259.36,7.79,639,7.77,633

 00:02:10,1,27.34,26.90,25.06,0.00,358.97,344.32,15.44,259.36,7.73,641,7.75,634

 00:02:15,1,27.64,26.99,25.09,0.00,358.97,351.65,15.44,259.36,7.82,640,7.79,634

 00:02:20,1,27.80,27.17,25.12,0.00,358.97,351.65,15.44,259.36,7.74,641,7.78,634

 00:02:25,1,28.03,27.38,25.14,0.00,358.97,351.65,15.43,259.36,7.76,642,7.70,636

 00:02:30,1,28.00,27.24,25.18,0.00,358.97,351.65,15.43,259.36,7.76,643,7.69,639

 00:02:35,1,28.01,27.18,25.21,0.00,373.63,358.97,15.43,259.36,7.79,643,7.78,639

 00:02:40,1,28.02,27.52,25.24,0.00,373.63,358.97,15.44,259.36,7.79,643,7.86,637

 00:02:45,1,28.65,27.69,25.27,0.00,358.97,358.97,15.43,259.36,7.81,642,7.73,639

 00:02:50,1,28.33,27.35,25.30,0.00,373.63,358.97,15.44,259.36,7.79,642,7.79,639

 00:02:55,1,28.36,27.55,25.33,0.00,366.30,358.97,15.44,259.36,7.84,640,7.75,640

 00:03:00,1,28.09,27.49,25.35,0.00,366.30,358.97,15.43,259.36,7.83,639,7.80,640

 00:06:05,2,28.74,28.06,27.15,0.00,373.63,358.97,15.44,259.36,7.82,638,7.79,640

 00:06:10,2,28.92,28.32,27.14,0.00,373.63,358.97,15.44,259.36,7.77,638,7.84,638

